Question,Answer
in India?,"Firstly, financial reporting uses financial statements to disclose financial data that is an indication of the financial strength and health of the company over a specified period of time. The objective of financial reporting is to track analyze and report a business income among other disclosure requirements. Now, there are various institutions and regulatory boards that influence different nuances of Financial Reporting in India. The National Financial Reporting Authority NFRA is the most recent of inclusions as an overseer of auditing profession and accounting standards in India. Other important regulators include Ministry of Corporate Affairs MCA It administers the Companies Act, 2013. MCA articulates the governments view on financial reporting and accounting requirements. Securities and Exchange Board of India SEBI They are responsible for the regulation of the companies listed on the stock exchanges in India. SEBI prescribes the type and amount of information provided in company prospectuses for the issue of securities. SEBI introduced Cash Flow Statements. Institute of Chartered Accountants of India ICAI ICAI has been holding an advisory role to the government on accounting and auditing but lately it has been relieved of duty in this context. They mainly regulate Chartered Accountants. Among other regulatory authorities are the Ministry of Finance, the Reserve Bank of India, the Insurance Regulatory and Development Authority of India, the Comptroller and Auditor General of India. There are international organizations and boards that have an influence as well such as the International Accounting Standards Board, the International Federation of Accountants, and the International Organization of Securities Commissions."
72 What is GAAP?,"Generally Accepted Accounting Principles GAAP are a common set of accounting principles, standards, and procedures issued by the Financial Accounting Standards Board. GAAP in Indian accounting is a commonly accepted standard of accounting that has stated the ways of recording, analyzing, and reporting accounting information. It has as its purpose to improve the clarity, consistency, and comparability of the communication of financial information. The purpose of GAAP is to create a uniform standard for financial reporting. The primary purpose of financial information is to help investors and other stakeholders to make important decisions with the right knowledge at their disposal. They should be able to easily assess the financial position of the company before decision making. In the case of organizations that dont work for profit such as NGOs or Government entities, the main objective of GAAP is to ensure complete transparency and clarity of the reporting entitys activities. Information provided under GAAP needs to be clear, comprehensive, and easily interpreted. Also, it should be verifiable by related third parties or auditors."
3 Why is GAAP so important?,"Without GAAP the companies and any entity in the finance sector would have its functioning put to a halt. This is because the GAAP is to finance what the Bible is to Christianity. GAAP allows its stakeholders to easily evaluate companies by assessing their financial statements. When an investor is in two minds about two companies in the same sector, he can compare the financial statements of those companies to come to a decision for investment. GAAP also helps companies gain key insights into their own practices and performances. Moreover, it helps minimize the risk of errors in financial reporting by having checks and safeguards at multiple levels while preparation of financial statements."
84 Why is the periodic income measurement necessary?,"Business activity is expected to perpetual and continuous. But, for purposes of measuring performance, it is necessary to draw a line in the sand of time. A periodicity assumption is made that business activity can be divided into measurement intervals, such as months, quarters, and years. A periodicity assumption helps to draw a line in the sand and also helps to gauge the performance of the business. It is important to assign revenues and expenses appropriately to their respective time periods for accurate presentation of financial statements. This works in favor of all the stakeholders in the business since the periodicity concept helps in proper determination and allocation of transactions to the right time period. Correctly assigning revenues and expenses to time periods is pivotal in the determination of income. It goes without saying that reported income is of great concern to investors and creditors, and its proper determination is crucial. Measurement issues can become complex. The following explanation helps simplify the concept. Why would companies try and get their financial statements prepared at regular intervals instead of employing"
resources to engage in their business operations? Had it not been an important principle,would the company really use the periodicity concept of measurement of its
transactions? The answer is YES. Periodicity assumption doesnt just help provide,intervals for recording transactions it becomes useful for investors to understand how the business is functioning and also the managers to look for areas to improve. A business without periodicity is more like students without examinations. Both feel they are better off without the former to add to their responsibility but we know what is best for them.
5 What is the money measurement assumption?,The money measurement concept states that a business is to record every such event or transaction that can be measured in terms of money. Those transactions which cannot be expressed in monetary terms is not recorded in the monetary terms. This implies that all transactions that can be seen as quantified information come under the purview of this assumption.
realistic is the money measurement assumption?,"The qualitative aspects of the business failed to be considered often due to the limitation of the scope of this concept. A lot of companies boast of their qualitative USPs and for some, it is abundantly clear but they cannot be recorded in accounting simply because they cannot be quantified. A few of such exemptions are a competent workforce, employee working conditions, product durability, expected resale value of a patent, quality customer support or field service, and many more. There are not many accounting tools to accurately quantify most of the transactions stated above. Although some companies boast of these traits and are known to have such characteristics, it is not measurable. Hence, it is a common notion that the money measurement concept is less realistic and its relevance is restricted to a certain extent. 7 What are the underlying Assumptions for preparation and presentation"
of Financial Statements?,"Separate Reporting Entity It is the subject of set of financial statements. Accountants treat a business as separate from its owners and other related firms. The reporting entity defines the scope of the activities to be included in the financial statements. It may be i a business, ii a legal entity, iii a group or iv a segment. Going Concern The financial statements are normally prepared on the assumption that an entity is a going concern and will continue in operation for the foreseeable future. Hence, it is assumed that the entity has neither the intention nor the need to liquidate or curtail materially the scale of its operations if such an intention or need exists, the financial statements may have to be prepared on a different basis and, if so, the basis used is disclosed. Accrual Basis In order to meet their objectives, financial statements are prepared on the accrual basis of accounting. Under this basis, the effects of transactions and other events are recognised when they occur and not as cash or its equivalent is received or paid."
108 What are the qualitative characteristics of Financial Statements?,"a Understandability An essential quality of the information provided in financial statements is that it is readily understandable by users. b Relevance To be useful, information must be relevant to the decisionmaking needs of users. Materiality The relevance of information is affected by its nature and materiality. Information is material if its omission or misstatement could influence the economic decisions of users taken on the basis of the financial statements. c Reliability To be useful, information must also be reliable. Information has the quality of reliability when it is free from material error and bias and can be depended upon by users to represent faithfully that which it either purports to represent or could reasonably be expected to represent. i. Faithful representation To be reliable, information must represent faithfully the transactions and other events it either purports to represent or could reasonably be expected to represent. ii. Substance over form If information is to represent faithfully the transactions and other events that it purports to represent, it is necessary that they are accounted for and presented in accordance with their substance and economic reality and not merely their legal form. iii. Neutrality To be reliable, the information contained in financial statements must be neutral, that is, free from bias. Prudence Prudence is the inclusion of a degree of caution in the exercise of the judgements needed in making the estimates required under conditions of uncertainty, such that assets or income are not overstated and liabilities or expenses are not understated. iv. Completeness To be reliable, the information in financial statements must be complete within the bounds of materiality and cost. An omission can cause information to be false or misleading and thus unreliable and deficient in terms of its relevance. d Comparability Users must be able to compare the financial statements of an entity through time in order to identify trends in its financial position and performance. Users must also be able to compare the financial statements of different entities in order to evaluate their relative financial position, performance and cash flows."
119 What is Forensic Accounting?,"Forensic accounting as a career option has never been more enticing than it is now. It utilizes concepts of accounting, auditing, and investigation methodology to a detailed examination of the finances and dealings of an individual or a business. Forensic accounting provides an accounting analysis that aids investigating officials to obtain material information for legal proceedings. Forensic accountants undergo training in order to find out possible loopholes in the accounting transactions and other business aspects. It is being increasingly used in fraud and embezzlement cases to give clarification on the nature and extent of the financial crime in court. Forensic accountants, analyze, interpret, and summarize complex financial and business matters. The employers include insurance, companies, banks, police forces, government agencies, or public accounting firms. Their modus operandi includes a compilation of financial evidence and discrepancies, developing software to help manage the collected evidence, and to communicate the conclusive findings in the form of reports or presentations. Along with testifying in the court of law, forensic accountants are also asked to prepare formats of the evidence that are easily comprehensible for the smooth proceedings of the case. Investigative accounting methods employed by forensic accountants can be tracing the funds trail, asset identification, asset recovery, and due diligence reviews. Forensic accountants may pursue additional preparation in alternative dispute resolution ADR due to their high levels of involvement in legal matters and familiarity with the judicial system. 12Measuring Accounting Income and Assets BY MD AFTAB ALAM"
1 What is the Cash system of Accounting?,"Cash accounting is a methodology under which transactions are recorded only when cash moves in or moves out. For example, income will be recorded when a firm receives cash, and expenses are recorded when cash is paid by the firm."
2 What are the Benefits of cash accounting?,It is beneficial for small companies and for companies that have complex organizational structures accrual accounting is better. It is fairly easy to use cash system methodology because cash accounting is a system where revenues as well as expenses are realized when they are received or paid out in case of an expense.
3 What is the Accrual system of accounting?,"Accrual accounting is an accounting method that recognizes financial events when they occur, regardless of when payment is made. It states that revenue is recognized when it is earned and expense is recognized when incurred. Accruals are required to tackle the timing differences between the cash movement and accounting recognition of revenue and expense."
4 What are the Types of Accruals?,"There are four types of accruals enumerated below 1. Prepaid expense Prepaid expense is a type of expenditure which is paid in advance. This accrual is a type of expense that has not yet been recorded by a company as an expense but has been paid in advance. On the other side, it is recorded in the balance sheet prepaid expenses are first recorded as an asset. After the benefits of the assets are realized over time, the amount is then recorded as an expense. 132. Accrued Expenses The accrued expense is a type of expenditure that is already incurred but has not yet been paid. In the Balance sheet, it is shown as a current liability because it represents a companys obligation. 3. Unearned revenue Money received by an individual or company for a service or product that has yet to be provided or delivered. It can be thought of as a 4. Accrued or unbilled revenue Accrued revenue is revenue that is recognized but is not yet realized. In other words, it is the revenue earnedrecognized by a business for which the invoice is yet to be billed to the customer. It is also known as unbilled revenue. The actual cash movement of the accruals are shown below with the help of the following chart Accruals Cash movement Prepaid expense Earlier Unearned revenue Earlier Accrued expense Later Accrued or unbilled revenue Later"
5 What is the Income measurement principle?,"Realization principle According to the recognition or realization principle revenue is recognized when they are realized, realizable, and are earned. Now revenue is the cash inflow for a business arising from the different sale of goods or services. And we assume that this revenue is realized only when it legally arises to be received. So, in simpler terms, the profit earned will be recorded when it is actually earned. Matching principle The matching principle states that the related revenues and expenses must be matched in the same period. This is done in order to link the costs of an asset or revenue to its benefits. In practice, the matching principle combines accrual accounting wherein revenues and expenses are recorded as they are incurred, no matter when cash is received with the revenue recognition principle which states that revenues should be recognized when they are earned or realized, no matter when cash is received."
146 How does the Income measurement mechanism work?,"Accrual When transactions are recorded in the books of accounts as they occur even if the payment for that particular product or service has not been received or made, it is known as accrualbased accounting. This method is more appropriate in assessing the health of the organization in financial terms. Accrual refers to an entry made in the books of accounts related to the recording of revenue or expense paid without any exchange of cash. The use of accrual accounting is typically useful in businesses where there are a lot of credit transactions or the goods and services are sold on credit, which simply means that there was no exchange of cash. Deferrals Deferral accounts for expenses that have been prepaid or early receipt of revenues. In other words, it is the payment made or payment received for products or services not yet provided. In deferrals, the expense or revenue to be later reflected on the financial statements in the same time period the product or service was delivered."
7 What are the components of the income statement?,"The components of Income statements are divided into two sections Topline The top line is a record of a companys income or revenue earnings that reflect the value of goods sold to consumers within the statement period. It is shown at the top of the income statement which includes revenue from the operation, income from other sources, and Gross profit. Bottom line The bottom line is a companys income after deducting operation costs from Gross Profit. It consists of EBITDA, EBIT, PBT, and PAT."
8 What are the Topline components?,Revenue from the operation It is defined as the income generated by the company from its core operation. Gross profit Gross of the company is the total sale of the firm after deducting the total cost of goods sold. Gross Profit Total sales Cost of Goods Sold
159 What are the Bottomline components?,"Operating expenses They are the expenses incurred in running the businesses. They are normally separated by function. It consists of Selling and distribution expenses and administration expenses. Operation Expenses Selling and distribution expenses Administrative Expenses EBITDA It is Earning before Income, Tax, Depreciation, and Amortisation. It is an accounting measure calculated using a companys earnings before interest, tax, depreciation, and amortization. EBITDA Gross Profit Operating Expenses EBIT It is Earning Before Interest and Tax. It is a measure of a companys profit that includes all income and expenses except interest expenses and tax expenses. EBIT EBITDA Depreciation Amortisation PBT It is Profit Before Tax. It is a measure of the companys profitability which looks at the profit made before any tax paid. Nonoperating Expenses are the expenses that are incurred from activities unrelated to the core activities of the business. Nonoperating income is the income that is earned from activities unrelated to the core activities of the business. PBT EBIT Nonoperating Income Nonoperating expenses PAT It is Profit After Tax. It is an earning of the company after deducting income tax. PAT Profit Before Tax Income Tax"
1610 Describe the adjusting process of depreciation?,"Depreciation Depreciation is the systematic allocation of the depreciable amount of an asset over its useful life. It is allocating the cost of an asset to the periods that are expected to benefit from the assets use and gradual conversion of cost into the expense. It is necessary to charge depreciation even if the market value of an asset has appreciated because depreciation is a process of cost allocation, not asset valuation. It continues even when the asset becomes idle or is retired from active use unless the asset is fully depreciated. Example if a 150,000 rupees car with a 3year life was purchased and depreciation expense would be rupees 50,000 per year then 150,0003 50,000. This expense of 50,000 rupees would be reported on each years income statement. The journal entry of the expense is enumerated below Particulars Dr. Amount Cr Amount Depreciation Expense Ac 50,000 To Accumulated Depreciation AC 50,000 Steps to find depreciation Recognition of Depreciable Asset Establishing the depreciable amount Estimating the useful life Choosing an appropriate cost allocation method Step1 Recognition of Depreciable Asset Step2Establishing the depreciable amount Step3Estimating the useful life Step4Choosing an appropriate cost allocation method There are three methods which are enumerated below Straightline method SLM Writtendownvalue WDV method ProductionUnits method"
1711 What are the real accounts and nominal accounts?,"Real accounts are those accounts that are recorded in the balance sheet. These accounts show the summary of the assets, liabilities, and owners equities of a business. Example Plant, property, equipment, goodwill, cash, etc. Nominal accounts are those accounts that are recorded in the income statement. These accounts show the summary of the expenses, losses, income, and gains of a business for a period of time. ExampleSalary Ac, Rent Ac, Wages Ac, Commission Ac, Utilities Expenses Ac, etc."
12 What are the measurement bases for different types of Assets?,"Measurement bases Historical cost Coast at which asset was actually purchased Historical cost is highly reliable but its relevance to an analyst declines as value change. Fair value Cost at which an asset can be purchased now. Fair value is more relevant to an analyst but is less reliable compared to historical cost because it involves some level of judgment. 18Financial Reporting Standards by Tejashree Wagh, Md. Aftab Alam, Manav Joshi, and Sadhika Nimbutkar"
1 What is an Accounting Standard?,An accounting standard is a principle and procedure that provides a framework for companies to follow while making financial statements. It is set up by specific governing bodies in order to withhold a companys management from manipulating their statements for personal gains or false representation. Accounting standards not only improve the transparency of financial reporting but also facilitates financial accountability. Some examples of accounting standards are enumerated below Goodwill accounting. Depreciation Methods. Mergers and acquisitions. Revenue recognition.
2 Why do we need accounting standards?,"Objectives of Accounting Standards are 1. Enhance Reliability The first objective of accounting standards is to enhance the reliability of financial statements. 2. Allows making comparisons Accounting standards allow to make comparisons to examine the progress and performance of the company. 3. Uniformity in accounting methods Provides one set of standard accounting policies which contains valuation norms and disclosure requirements. 4. It helps to prevent fraud, allows eliminating confusion, and attains reliability. Hence, It enables to improve the quality of financial reporting by assisting comparability, consistency, and transparency. 193 What is the need for convergence towards Global Accounting"
Standards IFRS?,"Every country makes its own rules and regulations for accounting and financial reporting. In such a case, the multinational companies have to abide by the rules of all the nations it wants to run its businesses. Hence in this period of rapid globalization, there is a strong requirement to bring uniformity, rationalization, comparability, transparency, and adaptability in the financial statements. Having a multiplicity of accounting standards globally is against the public interest because international analysts and investors prefer comparing financial statements based on uniform accounting standards. The convergence of financial reporting and accounting standards is a valuable process that contributes to the free flow of global investment. It facilitates the investors to compare investment at a global level and also lowers the risk of errors of judgment. Hence this convergence holds high significance in todays era."
4 What is IND AS?,"IND AS stands for Indian Accounting Standards, which are IFRS converged standards issued by the Central Government of India under the supervision and control of the Accounting Standards Board ASB of ICAI and in consultation with NFRA. In India IND AS was made compulsory to follow from the 1 April 2016. Earlier there were 29 st IND AS but now it has narrowed down to 27 IND AS. 5 IND AS VS IFRS IFRS stands for International Financial Reporting Standards which is a single set of accounting standards for businesses around the world and is issued by the International Accounting Standards Board. Indian Accounting Standards Ind AS are IFRS converged standards issued by the Central Government of India under the supervision and control of the Accounting Standards Board ASB of ICAI and in consultation with NFRA. 20 Indian Accounting Standards largely follow historical cost whereas IFRS follows the fair value measurement basis. International Financial Reporting Standards IFRSs are considered a principles based set of standards. While IND AS was not directly taken from IFRS. It was been modified making necessary changes according to the economic condition of the country India. At present, there are 16 IFRS and 27 IND AS."
6 What are Accounting policies?,"Accounting policies are the principles and procedures according to which the companies prepare financial statements. The principles and procedures include accounting methods, measurement systems, and procedures for presenting disclosures. An entity shall select and apply its accounting policies consistently for similar transactions, other events, and conditions, unless a standard or an interpretation specifically requires so, in order to make the financial statements more relevant and reliable."
7 What are Accounting concepts?,"While preparing accounts and recording business transactions, there are some assumptions made and principles followed in order to maintain uniformity and consistency in maintaining records. These are known as accounting concepts which form the basis of accounting. Following are various accounting concepts Entity concept The entity concept says that the business organization has a separate identity apart from its owner. the business and the owner should be treated distinctly. Hence according to the concept, the business entity is liable for the capital invested by the owner. Money measurement concept This concept says that only the transactions measurable in terms of money are recorded. The transactions which affect the business results but do not have monetary value are not recorded in the books. 21 Going concern concept It is an assumption that a business is a going concern and will continue to operate its activities for the foreseeable future. Hence the business has no intent or needs to dissolve or liquidate or put an end to its business activities. Accounting period concept After going concern concept comes into the picture, it becomes difficult to measure performance in the ordinary course of business. So, we choose a specific period of time to measure performance. In India, the accounting period is for one year starting from 1st April of the current calendar year to 31st March of the next calendar year. Historical cost concept According to this concept, the value of an asset should be recorded on the basis of historical costamount at which the asset was acquired or purchased cost of acquisition of an asset. The market value of an asset may vary across periods hence it becomes difficult to value the asset in such a case. The historical cost concept provides solutions for this difficulty. Dual aspect concept Every business transaction has two effects a debit and a credit effect. It is the base of the doubleentry bookkeeping system. It also gives us the accounting equation i.e. Assets Liabilities Equity. Realization concept Realization refers to inflows of cash or claims arising from the sale of goods or services. It helps to find out what amount should be recognized as revenue. The realization concept states that the amount recognized as revenue is the amount that is reasonably certain to be realized. Accrual concept It states that revenue is recognized when it is earned and expense is recognized when incurred regardless of when payment is made. 22 Matching concept This concept says that all the expenses of an accounting period should match the income for that accounting period."
What are accounting conventions?,"Accounting conventions are the set of principles that one follows while preparing financial accounts. There are four main accounting conventions as follows i. Consistency According to this convention, accounting practices should remain unchanged from one period to another. This is necessary for the purpose of comparison. The lack of consistency will result in distorting the profit and making them uncompilable with each other. ii. Full Disclosure Transparency is one of the most important aspects of corporate governance. Financial statements are prepared with the objective of disclosing a true and fair view of the affairs of the company. iii. Conservatism Conservatism concept in accounting is also called the doctrine of prudence, it says that anticipate the future losses and expenses but not gains and incomes. Conservatism states that the accountant should not anticipate income and should provide for all possible losses. iv. Materiality On contrary to the full disclosure principle, materiality says that the events or transactions which do not have a significant effect on the business can be ignored and not disclosed in the financial statements. 23Preparation of Financial Statements BY LAXMIKANT BEHERA"
What are the Financial Statements?,"Financial statements are the statements that present an actual view of the financial performance of an organization at the end of a financial year. It represents a formal record of financial transactions taking place in an organization. These statements help the users of the information in determining the financial position, liquidity, and performance of the organization. Financial statements reflect the impact of the financial effects of the transactions on the organization. The preparation of financial statements is done by both profit and nonprofit organizations. It forms a crucial part of the annual report of any organization. Financial statements are used by different stakeholders of an organization which includes shareholders, staff, customers, investors, suppliers, stock exchanges, government authority, and other related stakeholders. Types of Financial Statements There are five types of financial statements that are required to be prepared by an entity. These statements are 1. Income statement, 2. Balance Sheet or Statement of financial position, 3. Statement of change in equity, 4. Statement of cash flow, 5. Noted disclosure to financial statements. Let us discuss these statements in detail now I. Income statement The income statement of an organization or business entity is the financial statement that contains financial information about the three important components, which are revenues, profit or loss, and expenses incurred during the accounting period. 24It is sometimes called as the statement of financial position performance as this statement helps users of financial information in determining the financial performance of an organization from one accounting period to another of the same business or with that of the competitors. The three components of the income statement are explained as follows Revenues It refers to the sales of goods and services that the business generates during the current accounting period. Revenues can be obtained from both cash and credit sales. Profit or Loss Profit or loss is the net income which is obtained by deducting the expenses from the revenues. Profit will happen if revenues are more than expenses and loss will occur if expenses are more than revenue. Expenses Expenses are the cost of operations that an organization incurs for running day to day operations. They can be administrative expenses like salaries, depreciation, etc. II. Balance sheet A balance sheet is known as a statement of financial position as it shows the position of assets, liabilities, and equity at the end of an accounting period. The net worth of a business can be determined by deducting the liabilities from the assets. If the users of financial information are looking for information regarding the financial position of the company, a balance sheet is the most appropriate statement which will present the necessary information. Components of a balance sheet are assets, liabilities, and equity. These are described below A Assets Assets are resources that are owned by the company both legally and economically. There are two main classes of assets. They are current and noncurrent assets. Current assets are shortterm assets that can be converted in the current accounting period, and these include cash in hand, raw materials, petty cash, etc. Noncurrent assets comprise tangible and intangible assets, and these include machinery, building, land, computer equipment, vehicles, etc. Assets are equal to the sum of liabilities and equity of the organization. 25B Liabilities Liabilities are obligations of a company which they owe to other businesses or individuals. It includes interests payable, loans, taxes, etc. Liabilities are of two categories current liabilities and noncurrent liabilities. Current liabilities are due within a year that means the organization has to pay the dues within that accounting year only. Noncurrent liabilities, on the other hand, are obligations that have a longer period of repayment, which is more than twelve months. For example, a longterm lease whi is due in more than twelve months. C Equity Equity is defined as the difference between assets and liabilities. The examples of equity are retained earnings, share capital. Equity can be calculated by subtracting assets from liabilities. III. Statement of changes in equity This type of financial statement shows the contributions of shareholders, the movement of equity, and the balance of equity at the end of an accounting period. It shows all the changes in equity that take place during the accounting period. It includes the issue or purchase of shares, issuing of dividends, etc. IV. Statement of Cash Flow The cash flow statement reveals the movement of cash in an organization. It comprises cash inflows and outflows. Cash flow can be classified into three activities which are operating activities, investing activities, and financing activities. V. Notes to financial statements This is the fifth type of statement that is"
262 For whom financial statements are prepared?,Financial statements are prepared to provide information that suits the common needs of all users. Users of financial statements could be any of the following Investors Employees Lenders Suppliers and other trade creditors Customers Government and their agencies Public
